Year,LGA_name,LGA_code,Total_EGMs,Venues,Unemployment_rate,Net_expenditure (AUD)
2015,City of Whitehorse,26980,366.0,6.0,0.06138095515095108,51581759.5
2015,City of Manningham,24210,509.0,7.0,0.06052876439824173,56406754.76
2015,City of Banyule,20660,589.0,9.0,0.04885482760136571,54512648.72
2015,City of Maroondah,24410,737.0,10.0,0.0561159325364336,61694366.5
2015,City of Knox,23670,686.0,10.0,0.05162987532883449,73362492.12
2015,City of Monash,24970,957.0,15.0,0.03848988271955867,114356289.27
2015,City of Port Phillip,25900,384.0,10.0,0.05025111206772851,28842530.389999997
2015,City of Kingston,23430,895.0,16.0,0.06557056653555811,81509892.75000001
2015,City of Greater Dandenong,22670,952.0,15.0,0.12358257065561504,117004770.07000001
2015,City of Frankston,22170,534.0,10.0,0.0786975349766822,62065687.29000001
2015,City of Casey,21610,888.0,13.0,0.07867891863097616,119384478.72
2015,Shire of Cardinia,21450,303.0,5.0,0.06784894816975104,23259238.9
2015,Shire of Yarra Ranges,27450,444.0,9.0,0.055359772140288206,28786766.799999997
2015,City of Hume,23270,805.0,14.0,0.08941517119180613,104943985.94999999
2015,City of Brimbank,21180,946.0,15.0,0.09934553434964925,141609226.77
2015,Shire of Melton,24650,493.0,7.0,0.07619439868204284,57349284.44
2015,City of Hobsons Bay,23110,577.0,10.0,0.05801457731675213,46430981.96
2015,City of Wyndham,27260,891.0,13.0,0.06956944567235435,93116687.86
2015,Shire of Mornington Peninsula,25340,821.0,17.0,0.056159786520033964,79400240.34
2015,City of Yarra,27350,308.0,8.0,0.07362734011810529,31084714.55
2015,City of Maribyrnong,24330,402.0,9.0,0.07260848126232741,52994016.09
2015,City of Stonnington,26350,287.0,7.0,0.04042440152509532,23019972.590000004
2015,City of Glen Eira,22310,772.0,11.0,0.05150554675118859,73555920.9
2015,City of Bayside,20910,217.99999999999997,5.0,0.04017410740544674,15813241.530000001
2015,City of Moonee Valley,25060,732.0,11.0,0.05608825975737983,74747047.29000002
2015,Shire of Buloke,21270,0.0,0.0,0.044103234237177394,0.0
2015,Shire of Golden Plains,22490,0.0,0.0,0.04027231757599003,0.0
2015,Shire of Hindmarsh,22980,0.0,0.0,0.048625792811839326,0.0
2015,Shire of Indigo,23350,0.0,0.0,0.046674445740956826,0.0
2015,Shire of Loddon,23940,0.0,0.0,0.07142857142857142,0.0
2015,Shire of Moyne,25490,0.0,0.0,0.031182181610508283,0.0
2015,Shire of Pyrenees,25990,0.0,0.0,0.048273657289002556,0.0
2015,Shire of West Wimmera,26890,0.0,0.0,0.03558558558558558,0.0
2015,Shire of Yarriambiack,27630,0.0,0.0,0.05141158989598811,0.0
2016,City of Whittlesea,27070,691.0,10.0,0.061013938916216835,103399181.7
2016,Shire of Nillumbik,25710,80.0,2.0,0.020646732512515222,8252420.6899999995
2016,RURAL CITY OF ARARAT,20260,88.0,2.0,0.07028360049321825,4937199.99
2016,Shire of Northern Grampians,25810,65.0,2.0,0.05684803001876173,4113493.25
2016,Borough of Queenscliffe,26080,30.0,1.0,0.026985350809560524,1350945.4600000002
2016,City of Greater Geelong,22750,1265.0,25.0,0.05915025797620301,111854042.58
2016,SHIRE OF CORANGAMITE,21830,56.99999999999999,2.0,0.027758174547165372,2672374.33
2016,Shire of Colac-Otway,21750,110.0,5.0,0.03672265904217298,7490513.610000001
2016,SHIRE OF HEPBURN,22910,50.0,2.0,0.05554793581127417,2602018.06
2016,Shire of Moorabool,25150,110.0,3.0,0.06330741801601683,8011356.32
2016,SHIRE OF CENTRAL GOLDFIELDS,21670,99.0,2.0,0.1205758848230354,7104793.64
2016,SHIRE OF MOUNT ALEXANDER,25430,29.999999999999996,1.0,0.06920332936979785,3116230.92
2016,SHIRE OF MANSFIELD,24250,40.0,1.0,0.032321041214750545,1437997.0100000002
2016,SHIRE OF MURRINDINDI,25620,24.999999999999996,1.0,0.042191267077417625,1381431.56
2016,Shire of Mitchell,24850,228.0,5.0,0.05929442427627292,16394612.05
2016,SHIRE OF TOWONG,26670,10.0,1.0,0.04996837444655281,284733.4799999999
2016,Shire of Alpine,20110,58.0,2.0,0.037414448669201524,2232436.02
2016,SHIRE OF MOIRA,24900,99.0,2.0,0.04438913088570836,4244200.19
2016,SHIRE OF STRATHBOGIE,26430,32.0,1.0,0.04491590214067278,1294670.47
2016,Rural City of Benalla,21010,105.0,3.0,0.05703157601891779,5265158.930000001
2016,SHIRE OF GANNAWARRA,22250,45.0,1.0,0.045454545454545456,1712866.2000000002
