Year,LGA_name,LGA_code,0-19,20-64,65+,Total_population,Ratio: 65+ to 18+,Median_income,Total_EGMs,Venues,Unemployment_rate,Net_expenditure (AUD),EGMs_PV,People_PEGM,Expenditure_PP (AUD),Expenditure_PEGM (AUD),Expenditure_PV (AUD),EXP_PP_label
2014,Wyndham (C),27260,59984,125569,14162,199715,0.1013518832614094,47607,891,13,0.062027769715468,90342545.32,68.53846153846153,156.82491582491582,646.5461874601913,101394.55142536476,6949426.563076923,High
2014,Yarra (C),27350,12468,65130,8908,86506,0.1203165941813663,55750,308,8,0.0768827032016361,30077711.860000003,38.5,240.38311688311688,406.24695237580704,97654.90863636365,3759713.9825000004,Medium
2014,Yarra Ranges (S),27450,39289,89514,21295,150098,0.1921775307059895,43546,412,8,0.0577615547772899,26635127.98,51.5,268.95388349514565,240.36971708074253,64648.368883495146,3329390.9975,Low
2015,Alpine (S),20110,2610,6262,2986,11858,0.3228806228373702,36195,63,3,0.0444201995012468,2802096.85,21.0,146.79365079365078,302.99490160034605,44477.72777777778,934032.2833333333,Low
2015,Ararat (RC),20260,2478,6060,2490,11028,0.2912280701754386,39387,88,2,0.0597197898423817,5260422.33,44.0,97.1590909090909,615.2540736842105,59777.52647727273,2630211.165,High
2015,Ballarat (C),20570,26550,58493,16535,101578,0.2203843898277976,43852,663,15,0.0508239341634575,53623993.63,44.2,113.16440422322775,714.7197530255372,80880.8350377074,3574932.908666667,High
2015,Banyule (C),20660,29671,75349,21212,126232,0.2196746098321268,50400,589,9,0.0488548276013657,54512648.72,65.44444444444444,163.94057724957554,564.541054048736,92551.18628183361,6056960.968888889,Medium
2015,Bass Coast (S),20740,6979,17282,7772,32033,0.3102099465155264,35605,216,5,0.0556572923479398,15851964.94,43.2,115.99074074074075,632.7119398100103,73388.72657407407,3170392.988,High
2015,Baw Baw (S),20830,12005,25647,8986,46638,0.2594635174544509,41353,198,4,0.0362298330031135,13295313.54,49.5,174.91414141414143,383.8914774925649,67148.04818181817,3323828.385,Low
2015,Bayside (C),20910,25786,56972,18563,101321,0.245753624147746,57355,218,5,0.0401741074054467,15813241.53,43.6,346.4908256880734,209.3498580790362,72537.80518348624,3162648.306,Low
2015,Benalla (RC),21010,3088,7226,3182,13496,0.3057263643351268,37449,105,3,0.0726907053584255,4866018.049999999,35.0,99.12380952380953,467.52671502690225,46343.029047619035,1622006.0166666664,Medium
2015,Boroondara (C),21110,41256,106438,27093,174787,0.2028967056338977,56451,202,5,0.0401714421125294,20957038.26,40.4,661.0445544554456,156.9451158158031,103747.71415841585,4191407.6520000002,Very Low
2015,Brimbank (C),21180,49798,123266,26368,199432,0.176216635256693,42123,946,15,0.0993455343496492,141609226.77,63.06666666666667,158.17547568710359,946.3706562011308,149692.62872093025,9440615.118,Very High
2015,Campaspe (S),21370,9414,19377,7956,36747,0.2910767204478103,40081,209,4,0.0641951006124234,8159437.359999999,52.25,130.7799043062201,298.51964145904213,39040.37014354067,2039859.3399999999,Low
2015,Cardinia (S),21450,27091,53324,10469,90884,0.1641089147712131,46041,303,5,0.067848948169751,23259238.9,60.6,210.53795379537954,364.6048767106109,76763.16468646865,4651847.779999999,Low
2015,Casey (C),21610,86352,176363,29496,292211,0.1432825380478871,45726,888,13,0.0786789186309761,119384478.72,68.3076923076923,231.82319819819818,579.9332490685372,134441.98054054054,9183421.44,Medium
2015,Central Goldfields (S),21670,2835,6324,3416,12575,0.3507186858316222,35590,99,2,0.0904392764857881,6883730.52,49.5,98.38383838383838,706.7485133470226,69532.63151515152,3441865.26,High
2015,Colac-Otway (S),21750,4712,11203,4340,20255,0.279225374766776,38634,110,5,0.0569536423841059,7330981.99,22.0,141.3,471.65810911664414,66645.29081818182,1466196.398,Medium
